"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9117",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E320,"4015-4016",13,9,Lille Europe,France,"50.639224","3.075796","16",9,0,0,0,0,5,101,0,0,8,69,17,12,0,1,11,14,20,21,15,9,12,3,0,0,0,87,19,106,0,0,0,0,0,0,0,0,0,0,5
"9117",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E320,"4015-4016",13,9,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",8,0,0,1,2,60,450,0,1,17,361,92,43,0,0,49,59,121,113,83,57,27,10,1,0,0,402,118,513,1,0,0,0,0,0,0,0,0,1,61
"9123",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3219-3220",0,5,Lille Europe,France,"50.639224","3.075796","16",11,0,0,0,0,6,31,0,1,0,32,5,1,0,0,3,1,11,10,4,5,1,2,0,0,0,32,5,38,0,0,0,0,0,1,0,0,0,0,6
"9123",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3219-3220",0,5,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",10,11,0,0,7,71,412,0,0,20,348,87,35,0,4,38,43,110,104,60,65,24,16,1,0,0,275,190,490,3,0,0,2,0,0,0,4,0,0,69
"9126",2024-12-24,GBSPX-NLAMA,Eurostar,E320,"4015-4016",0,7,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",11,14,0,0,51,134,666,3,3,33,548,205,71,0,1,92,135,169,107,175,101,38,22,3,1,0,592,252,857,4,0,0,0,2,0,0,1,2,1,181
"9132",2024-12-24,GBSPX-BEBMI,Eurostar,E300,"3205-3206",0,-1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",13,0,0,1,10,158,535,1,1,16,469,165,55,0,2,72,117,125,106,128,108,23,9,4,0,0,550,144,705,2,0,2,0,0,0,0,2,1,3,160
"9135",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3015-3016",0,2,Lille Europe,France,"50.639224","3.075796","16",13,0,0,0,2,6,46,0,0,1,35,15,3,0,1,3,12,11,6,15,8,0,1,2,0,0,31,28,54,0,0,0,0,0,0,0,0,0,3,5
"9135",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3015-3016",0,2,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",12,0,0,0,15,94,383,0,0,24,355,77,36,0,3,40,52,97,87,87,74,26,20,5,0,0,204,287,492,2,0,0,2,0,0,0,0,0,0,105
"9141",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3229-3230",0,1,Lille Europe,France,"50.639224","3.075796","16",15,0,0,0,2,8,83,0,0,1,67,11,14,0,0,14,11,16,16,18,10,3,3,0,0,0,51,40,93,0,0,0,0,0,0,0,0,0,0,10
"9141",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3229-3230",0,1,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",14,0,0,1,13,84,357,1,1,22,323,73,37,1,2,53,54,96,79,87,61,28,11,5,0,0,222,254,456,3,0,0,0,1,0,0,2,0,2,91
